1 sk1 881 621 0
1 sk2 873 556 0
1 sk3 865 613 0
1 sk4 931 609 0
1 sk5 862 626 0
1 sk6 886 615 0
1 sk7 872 587 0
1 sk8 868 632 0
1 sk9 912 586 0
1 sk10 927 554 0
1 sk11 945 595 0
1 sk12 913 553 0
1 sk13 936 636 0
1 sk14 898 525 0
1 sk15 899 526 0
1 sk16 923 472 0
1 sk18 791 601 0
1 sk17 831 697 0
1 sk20 799 720 0
1 sk19 792 675 0
1 sk22 1003 549 0
1 sk21 899 446 0
1 sk24 898 452 0
1 sk23 941 423 0
1 sk26 971 456 0
1 sk25 872 384 0
1 sk28 751 692 0
1 sk27 839 461 0
1 sk30 892 726 0
1 sk29 840 750 0
1 sk32 740 645 0
1 sk31 725 729 0
1 sk35 983 462 0
1 sk36 983 436 0
1 sk33 975 483 0
1 sk34 780 600 0
1 sk39 1056 595 0
1 sk40 812 774 0
1 sk37 832 394 0
1 sk38 1011 625 0
1 sk43 877 733 0
1 sk44 1076 574 0
1 sk41 880 351 0
1 sk42 910 342 0
1 sk47 925 304 0
1 sk48 986 370 0
1 sk45 1063 670 0
1 sk46 1087 666 0
1 sk52 728 590 0
1 sk51 939 228 0
1 sk50 920 279 0
1 sk49 989 389 0
1 sk56 991 221 0
1 sk55 1062 428 0
1 sk54 1055 463 0
1 sk53 972 234 0
1 sk60 787 583 0
1 sk59 1107 722 0
1 sk58 1135 647 0
1 sk57 1038 726 0
1 sk64 808 331 0
1 sk63 797 797 0
1 sk62 674 639 0
1 sk61 1065 362 0
1 sk69 1004 238 0
1 sk70 882 235 0
1 sk71 884 187 0
1 sk72 782 368 0
1 sk65 782 836 0
1 sk66 812 340 0
1 sk67 1165 661 0
1 sk68 1045 229 0
1 sk77 929 160 0
1 sk78 1012 717 0
1 sk79 794 855 0
1 sk80 700 529 0
1 sk73 733 527 0
1 sk74 792 449 0
1 sk75 805 444 0
1 sk76 793 326 0
1 sk86 673 456 0
1 sk85 734 399 0
1 sk88 627 497 0
1 sk87 936 765 0
1 sk82 724 318 0
1 sk81 711 502 0
1 sk84 659 609 0
1 sk83 1172 640 0
1 sk94 650 753 0
1 sk93 687 783 0
1 sk96 1077 778 0
1 sk95 625 498 0
1 sk90 660 419 0
1 sk89 730 766 0
1 sk92 610 360 0
1 sk91 653 400 0
1 sk103 560 403 0
1 sk104 1078 211 0
1 sk101 1151 728 0
1 sk102 557 327 0
1 sk99 1017 715 0
1 sk100 949 827 0
1 sk97 632 323 0
1 sk98 869 823 0
1 sk111 1158 759 0
1 sk112 840 179 0
1 sk109 690 825 0
1 sk110 615 773 0
1 sk107 1134 164 0
1 sk108 1053 307 0
1 sk105 1086 572 0
1 sk106 1086 206 0
1 sk120 692 850 0
1 sk119 485 333 0
1 sk118 515 354 0
1 sk117 563 424 0
1 sk116 639 316 0
1 sk115 1160 777 0
1 sk114 1226 702 0
1 sk113 973 791 0
1 sk128 799 274 0
1 sk127 654 249 0
1 sk126 1165 113 0
1 sk125 1115 131 0
1 sk124 1032 729 0
1 sk123 809 460 0
1 sk122 870 872 0
1 sk121 789 586 0
1 sk138 1130 309 0
1 sk137 1075 95 0
1 sk140 575 257 0
1 sk139 1039 821 0
1 sk142 963 859 0
1 sk141 1090 843 0
1 sk144 807 110 0
1 sk143 1172 248 0
1 sk130 650 401 0
1 sk129 795 258 0
1 sk132 1103 323 0
1 sk131 879 896 0
1 sk134 1103 66 0
1 sk133 1197 159 0
1 sk136 751 239 0
1 sk135 1175 195 0
1 sk153 368 220 0
1 sk154 786 1174 0
1 sk155 315 258 0
1 sk156 819 1230 0
1 sk157 246 254 0
1 sk158 207 249 0
1 sk159 770 1273 0
1 sk160 1247 366 0
1 sk145 911 949 0
1 sk146 888 1023 0
1 sk147 1220 296 0
1 sk148 918 1093 0
1 sk149 436 277 0
1 sk150 917 1126 0
1 sk151 408 240 0
1 sk152 838 1137 0
1 sk172 719 1161 0
1 sk171 959 1024 0
1 sk170 1333 424 0
1 sk169 74 218 0
1 sk176 23 28 0
1 sk175 1216 71 0
1 sk174 360 307 0
1 sk173 788 39 0
1 sk164 1145 16 0
1 sk163 97 147 0
1 sk162 160 191 0
1 sk161 1302 381 0
1 sk168 612 677 0
1 sk167 1059 0 0
1 sk166 45 88 0
1 sk165 834 976 0
1 sk187 745 918 0
1 sk188 243 326 0
1 sk185 1249 155 0
1 sk186 1009 989 0
1 sk191 1289 273 0
1 sk192 377 420 0
1 sk189 66 295 0
